,equity
2017-09-15,112349591.27172777
2017-09-18,113323930.84957558
2017-09-19,115673342.18898077
2017-09-20,104897458.5686012
2017-09-21,103838143.32653911
2017-09-22,97943461.42307098
2017-09-25,97943461.42307098
2017-09-26,98294485.82695882
2017-09-27,98223861.3951009
2017-09-28,98084011.03498623
2017-09-29,98715435.410904
2017-10-10,99652079.08452617
2017-10-11,102537720.36292371
2017-10-12,105471929.36816806
2017-10-13,103198338.32463811
2017-10-16,103519712.2186814
2017-10-17,102277628.52696113
2017-10-18,99860706.03338574
2017-10-19,99161522.85464902
2017-10-20,102665174.92592986
2017-10-23,103493763.51916136
2017-10-24,110428291.55626917
2017-10-25,108629933.40363419
2017-10-26,99557149.23803216
2017-10-27,98978636.84133795
2017-10-30,99816829.56693262
2017-10-31,99136794.32759881
2017-11-01,98891084.49600373
2017-11-02,97310921.53396139
2017-11-03,99023626.40572698
2017-11-06,98477379.70435923
2017-11-07,99859421.07897246
2017-11-08,102282451.68770002
2017-11-09,102673631.58163996
2017-11-10,104754238.10983849
2017-11-13,106856643.85348989
2017-11-14,110105088.91902408
2017-11-15,113560363.38971211
2017-11-16,113336547.5667837
2017-11-17,111097449.02389878
2017-11-20,114246451.38163963
2017-11-21,112875389.33556521
2017-11-22,111000895.64418332
2017-11-23,113113110.47283411
2017-11-24,110258099.22594957
2017-11-27,110343420.47793107
2017-11-28,106313594.37596813
2017-11-29,106945991.31687592
2017-11-30,104853504.1562384
2017-12-01,108826479.85863341
2017-12-04,109394920.10983732
2017-12-05,104627224.48431413
2017-12-06,103658113.95212209
2017-12-07,102853823.48701775
2017-12-08,92191593.6981354
2017-12-11,92733260.36480206
2017-12-12,92079219.21496943
2017-12-13,93913002.01643667
2017-12-14,93375924.32798475
2017-12-15,95422476.75957656
2017-12-18,95247534.14355561
2017-12-19,94367718.2681161
2017-12-20,94879251.31261536
2017-12-21,91362696.28938866
2017-12-22,94671567.55830164
2017-12-26,93330378.0587826
2017-12-27,98401358.74611071
2017-12-28,97832326.06675702
2018-01-02,101714485.6301116
2018-01-03,100304800.72804037
2018-01-04,95876628.0401946
2018-01-05,99003014.18192132
2018-01-08,99520443.0991337
2018-01-09,100317204.07763503
2018-01-10,104016564.19626078
2018-01-11,104911121.40840378
2018-01-12,105385072.14569722
2018-01-15,102145338.77622172
2018-01-16,108024491.26001126
2018-01-17,104062736.22988595
2018-01-18,102407429.9154064
2018-01-19,98413523.06748424
2018-01-22,100861042.90946175
2018-01-23,102664086.76186949
2018-01-24,101391256.08548163
2018-01-25,100163233.7510043
2018-01-26,101501923.7676606
2018-01-29,105071000.71936053
2018-01-30,113533415.40683042
2018-01-31,110520707.41559902
2018-02-01,103830601.94096315
2018-02-02,101431701.4395143
2018-02-05,96963036.58937806
2018-02-06,96963036.58937806
2018-02-07,96963036.58937806
2018-02-08,96963036.58937806
2018-02-09,96963036.58937806
2018-02-12,96963036.58937806
2018-02-13,96963036.58937806
2018-02-14,96963036.58937806
2018-02-19,96963036.58937806
2018-02-20,96963036.58937806
2018-02-21,96963036.58937806
2018-02-22,96963036.58937806
2018-02-23,96963036.58937806
2018-02-26,96963036.58937806
2018-02-27,96963036.58937806
2018-02-28,96963036.58937806
2018-03-02,96963036.58937806
2018-03-05,96963036.58937806
2018-03-06,96963036.58937806
2018-03-07,96963036.58937806
2018-03-08,96963036.58937806
2018-03-09,96963036.58937806
2018-03-12,96963036.58937806
2018-03-13,96924880.78651637
2018-03-14,98302228.30032639
2018-03-15,98295568.99622957
2018-03-16,102246304.72209026
2018-03-19,93497135.09618777
2018-03-20,94179085.59464796
2018-03-21,97266994.58517818
2018-03-22,93939921.5052829
2018-03-23,85437029.69764999
2018-03-26,86511409.86293924
2018-03-27,88467980.92111458
2018-03-28,88473488.71510957
2018-03-29,90000383.0447681
2018-03-30,91109470.02013823
2018-04-02,90689424.538926
2018-04-03,94857816.17626818
2018-04-04,98290335.32344268
2018-04-05,102461055.67119677
2018-04-06,114141867.09740253
2018-04-09,116829198.91276166
2018-04-10,115068693.84134787
2018-04-11,116088669.00177015
2018-04-12,109694030.2106296
2018-04-13,110248263.28866726
2018-04-16,113678453.72542985
2018-04-17,117201792.57866934
2018-04-18,113124220.64739217
2018-04-19,110064295.16612534
2018-04-20,117942322.48966084
2018-04-23,125266116.73515868
2018-04-24,125175297.02909368
2018-04-25,118592032.69458736
2018-04-26,120818279.84838575
2018-04-27,133237292.4751711
2018-04-30,136851451.0344756
2018-05-02,137410341.53333712
2018-05-03,140838203.25968778
2018-05-04,137780606.48883286
2018-05-08,118498884.27811046
2018-05-09,118498884.27811046
2018-05-10,118380715.88815477
2018-05-11,118879958.35792473
2018-05-14,123297674.10841772
2018-05-15,124634262.58173068
2018-05-16,112364028.64206973
2018-05-17,111796015.80933619
2018-05-18,114090465.77594414
2018-05-21,112386329.4746925
2018-05-23,112681431.76613642
2018-05-24,111164964.50741486
2018-05-25,106476002.46829566
2018-05-28,108390338.9164724
2018-05-29,107409894.91232392
2018-05-30,108311633.89700995
2018-05-31,110258637.67127335
2018-06-01,112243155.2615817
2018-06-04,115014582.51038468
2018-06-05,115633661.34218067
2018-06-07,116038309.950975
2018-06-08,114384666.13723755
2018-06-11,116424544.80880658
2018-06-12,118985308.78232644
2018-06-14,120133730.66250528
2018-06-15,119731620.42198628
2018-06-18,116108988.01223555
2018-06-19,108860443.82697257
2018-06-20,110702455.97791228
2018-06-21,112256692.35136074
2018-06-22,112936670.76474446
2018-06-25,116142283.2849819
2018-06-26,111673853.71131757
2018-06-27,113519509.40478763
2018-06-28,111382434.39129597
2018-06-29,110605316.20457175
2018-07-02,111188154.84461492
2018-07-03,114393767.36485237
2018-07-04,112159552.57802022
2018-07-05,112645251.44472286
2018-07-06,112742391.21806338
2018-07-09,112256692.35136074
2018-07-10,111965273.03133915
2018-07-11,108759660.5111017
2018-07-12,108759660.5111017
2018-07-13,108759660.5111017
2018-07-16,108759660.5111017
2018-07-17,108759660.5111017
2018-07-18,108759660.5111017
2018-07-19,108759660.5111017
2018-07-20,108759660.5111017
2018-07-23,108759660.5111017
2018-07-24,108759660.5111017
2018-07-25,108759660.5111017
2018-07-26,108759660.5111017
2018-07-27,108759660.5111017
2018-07-30,108759660.5111017
2018-07-31,108759660.5111017
2018-08-01,108759660.5111017
2018-08-02,108759660.5111017
2018-08-03,108759660.5111017
2018-08-06,108759660.5111017
2018-08-07,108759660.5111017
2018-08-08,108759660.5111017
2018-08-09,108759660.5111017
2018-08-10,108759660.5111017
2018-08-13,108759660.5111017
2018-08-14,108759660.5111017
2018-08-16,108759660.5111017
2018-08-17,108759660.5111017
2018-08-20,108759660.5111017
2018-08-21,108759660.5111017
2018-08-22,108759660.5111017
2018-08-23,108759660.5111017
2018-08-24,108759660.5111017
2018-08-27,108759660.5111017
2018-08-28,108759660.5111017
2018-08-29,108759660.5111017
2018-08-30,108759660.5111017
2018-08-31,108759660.5111017
2018-09-03,108759660.5111017
2018-09-04,108759660.5111017
2018-09-05,108759660.5111017
2018-09-06,108759660.5111017
2018-09-07,108759660.5111017
2018-09-10,108759660.5111017
2018-09-11,108759660.5111017
2018-09-12,108759660.5111017
2018-09-13,108759660.5111017
2018-09-14,108759660.5111017
2018-09-17,108759660.5111017
2018-09-18,108759660.5111017
2018-09-19,108759660.5111017
2018-09-20,108759660.5111017
2018-09-21,108759660.5111017
2018-09-27,108659284.09955841
2018-09-28,106316880.42740144
2018-10-01,105559744.40521789
2018-10-02,104450142.93301554
