date,ticker,action,price,units_after,reason
2018-05-25,017800,SELL,57954.0,0,MA20_BREAK
2018-06-19,005070,SELL,18457.0,0,MA20_BREAK
2018-06-19,166090,SELL,23350.0,0,MA20_BREAK
2018-06-20,081660,ADD,33700.0,2,ADD_8PCT
2018-06-21,081660,ADD,34500.0,3,ADD_16PCT
2018-07-11,081660,SELL,32700.0,0,MA20_BREAK
2018-09-21,112610,BUY,16655.0,1,ENTRY
2018-09-27,081660,BUY,45500.0,1,ENTRY
2018-09-28,028050,BUY,19300.0,1,ENTRY
2018-10-01,007660,BUY,5363.0,1,ENTRY
2018-10-08,081660,SELL,41250.0,0,MA20_BREAK
2018-10-11,112610,SELL,14709.0,0,MA20_BREAK
2018-10-18,028050,SELL,18150.0,0,MA20_BREAK
2018-10-23,007660,SELL,4939.0,0,MA20_BREAK
2019-01-18,000270,BUY,35800.0,1,ENTRY
2019-01-21,034220,BUY,18763.0,1,ENTRY
2019-01-22,052690,BUY,23800.0,1,ENTRY
2019-01-31,034220,SELL,17469.0,0,MA20_BREAK
2019-01-31,052690,ADD,26150.0,2,ADD_8PCT
2019-02-15,000270,SELL,35900.0,0,MA20_BREAK
2019-02-15,161890,BUY,76700.0,1,ENTRY
2019-03-12,161890,SELL,75900.0,0,MA20_BREAK
2019-03-12,174900,BUY,28500.0,1,ENTRY
2019-03-13,052690,SELL,26300.0,0,MA20_BREAK
2019-03-13,290650,BUY,8467.0,1,ENTRY
2019-03-14,101490,BUY,6120.0,1,ENTRY
2019-03-19,174900,SELL,25200.0,0,MA20_BREAK
2019-03-19,032500,BUY,14375.0,1,ENTRY
2019-03-27,101490,SELL,5700.0,0,MA20_BREAK
2019-03-27,112610,BUY,18031.0,1,ENTRY
2019-04-15,290650,SELL,9133.0,0,MA20_BREAK
2019-04-15,032500,ADD,18575.0,2,ADD_8PCT
2019-04-19,112610,SELL,17983.0,0,MA20_BREAK
2019-04-19,082270,BUY,17900.0,1,ENTRY
2019-05-09,082270,SELL,16900.0,0,MA20_BREAK
2019-05-10,032500,ADD,24700.0,3,ADD_16PCT
2019-07-01,032500,SELL,39300.0,0,MA20_BREAK
2019-10-16,207940,BUY,493081.0,1,ENTRY
